data,brent_usd,Abertura,Maxima,Minima,Vol,Var
30/11/2022,85.43,83.77,85.67,83.61,9.05,2.89
29/11/2022,83.03,82.41,86.00,82.39,67.93,-0.19
28/11/2022,83.19,83.58,84.10,80.61,102.56,-0.53
25/11/2022,83.63,85.50,86.87,83.59,85.31,-2.00
24/11/2022,85.34,85.04,85.54,83.90,75.61,-0.08
23/11/2022,85.41,88.47,89.56,84.12,212.14,-3.34
22/11/2022,88.36,87.76,89.90,87.35,190.85,1.04
21/11/2022,87.45,87.74,87.98,82.31,354.60,-0.19
18/11/2022,87.62,90.10,90.63,85.80,379.66,-2.41
17/11/2022,89.78,92.73,92.91,89.53,313.53,-3.32
16/11/2022,92.86,94.11,94.79,91.67,257.62,-1.07
15/11/2022,93.86,92.59,95.77,91.53,317.50,0.77
14/11/2022,93.14,95.87,96.95,92.50,248.25,-2.97
11/11/2022,95.99,93.84,96.92,93.69,238.07,2.48
10/11/2022,93.67,92.53,94.32,91.73,278.53,1.10
09/11/2022,92.65,95.17,95.65,92.33,308.02,-2.84
08/11/2022,95.36,98.24,98.30,95.00,251.67,-2.61
07/11/2022,97.92,97.31,99.56,96.50,241.94,-0.66
04/11/2022,98.57,94.58,98.81,94.33,307.09,4.12
03/11/2022,94.67,95.36,95.98,94.19,229.12,-1.55
02/11/2022,96.16,94.85,96.50,94.01,253.00,1.60
01/11/2022,94.65,92.67,95.55,92.33,247.65,-0.19
31/10/2022,94.83,96.47,96.47,94.25,15.00,-0.98
28/10/2022,95.77,96.58,96.89,94.96,89.94,-1.23
27/10/2022,96.96,96.05,97.27,95.07,84.57,1.33
26/10/2022,95.69,92.91,96.25,92.06,138.00,4.31
25/10/2022,91.74,91.40,92.48,89.75,222.20,0.58
24/10/2022,91.21,91.23,92.30,89.01,178.75,-0.14
21/10/2022,91.34,90.48,91.72,89.17,181.51,0.98
20/10/2022,90.45,90.47,92.66,90.01,211.69,-0.12
19/10/2022,90.56,89.31,90.95,87.90,260.25,2.21
18/10/2022,88.60,90.53,91.22,87.52,247.36,-1.75
17/10/2022,90.18,90.20,91.79,89.49,163.34,0.03
14/10/2022,90.15,92.81,93.45,89.81,153.89,-4.67
13/10/2022,94.57,92.49,94.92,91.08,280.52,2.29
12/10/2022,92.45,93.72,95.17,91.56,257.66,-1.95
11/10/2022,94.29,95.93,96.46,93.11,259.03,-1.98
10/10/2022,96.19,98.75,98.75,95.60,215.37,-1.77
07/10/2022,97.92,94.71,98.58,93.94,269.40,3.71
06/10/2022,94.42,93.71,94.98,92.72,207.53,1.12
05/10/2022,93.37,91.89,93.96,90.76,296.20,1.71
04/10/2022,91.80,88.81,92.40,88.78,282.38,3.31
03/10/2022,88.86,86.35,89.82,86.35,270.69,1.02
30/09/2022,87.96,88.53,89.80,87.69,5.89,-0.60
29/09/2022,88.49,88.97,90.12,87.33,57.86,-0.93
28/09/2022,89.32,86.14,89.47,84.26,74.33,5.24
27/09/2022,84.87,82.84,85.84,82.81,252.52,2.43
26/09/2022,82.86,85.54,86.45,82.44,257.04,-2.55
23/09/2022,85.03,89.57,89.88,84.55,304.20,-5.03
22/09/2022,89.53,88.83,91.74,88.28,219.29,0.82
21/09/2022,88.80,89.57,92.23,88.31,247.64,-0.67
20/09/2022,89.40,90.85,91.57,88.56,209.16,-2.83
19/09/2022,92.00,91.43,92.57,88.50,138.53,0.71
16/09/2022,91.35,90.51,92.66,90.25,197.48,0.56
15/09/2022,90.84,94.65,94.66,90.03,257.62,-3.46
14/09/2022,94.10,93.40,95.80,91.93,259.90,1.00
13/09/2022,93.17,94.31,95.53,91.05,275.17,-0.88
12/09/2022,94.00,92.54,95.17,91.21,210.43,1.25
09/09/2022,92.84,88.62,93.12,88.60,202.94,4.76
08/09/2022,88.62,87.98,89.82,87.25,,0.70
07/09/2022,88.00,92.81,93.80,87.40,300.20,-5.20
06/09/2022,92.83,95.19,95.94,92.30,225.95,-3.04
05/09/2022,95.74,93.02,96.99,93.02,144.26,2.92
02/09/2022,93.02,92.66,95.32,92.65,210.00,0.71
01/09/2022,92.36,95.18,95.68,91.81,297.55,-4.28
31/08/2022,96.49,99.79,100.46,95.44,10.07,-1.38
30/08/2022,97.84,102.88,103.48,96.63,356.10,-4.95
29/08/2022,102.93,98.96,103.22,98.25,211.63,3.96
26/08/2022,99.01,98.95,100.10,96.96,277.48,0.56
25/08/2022,98.46,100.79,101.53,98.23,223.98,-1.87
24/08/2022,100.34,99.30,100.89,98.27,233.92,1.18
23/08/2022,99.17,96.00,99.41,95.81,198.99,3.51
22/08/2022,95.81,95.36,96.66,92.00,186.81,-0.94
19/08/2022,96.72,96.68,97.88,94.25,178.60,0.13
18/08/2022,96.59,93.29,97.42,93.05,208.55,3.14
17/08/2022,93.65,92.67,94.48,91.51,199.19,1.42
16/08/2022,92.34,94.01,95.95,91.71,217.75,-2.90
15/08/2022,95.10,97.72,98.17,92.78,217.57,-3.11
12/08/2022,98.15,99.33,100.38,96.94,188.13,-1.46
11/08/2022,99.60,97.04,100.17,96.63,219.42,2.26
10/08/2022,97.40,96.34,97.97,93.63,247.74,1.13
09/08/2022,96.31,96.36,98.40,94.90,219.67,-0.35
08/08/2022,96.65,94.51,96.82,93.01,201.25,1.82
05/08/2022,94.92,93.65,96.40,92.78,216.20,0.85
04/08/2022,94.12,97.10,97.66,93.20,264.81,-2.75
03/08/2022,96.78,99.73,102.41,96.50,293.11,-3.74
02/08/2022,100.54,99.87,102.41,98.49,229.68,0.51
01/08/2022,100.03,103.92,104.43,99.09,272.84,-9.07