data_inicio,data_fim,gasolina_blr
03/07/2022,09/07/2022,6.10
10/07/2022,16/07/2022,5.89
17/07/2022,23/07/2022,5.78
24/07/2022,30/07/2022,5.65
31/07/2022,06/08/2022,5.52
07/08/2022,13/08/2022,5.39
14/08/2022,20/08/2022,5.29
21/08/2022,27/08/2022,5.12
28/08/2022,03/09/2022,5.04
04/09/2022,10/09/2022,4.89
11/09/2022,17/09/2022,4.83
25/09/2022,01/10/2022,4.70
02/10/2022,08/10/2022,4.69
09/10/2022,15/10/2022,4.72
16/10/2022,22/10/2022,4.76
23/10/2022,29/10/2022,4.84
30/10/2022,05/11/2022,4.88
06/11/2022,12/11/2022,4.90
13/11/2022,19/11/2022,4.91
20/11/2022,26/11/2022,4.93
27/11/2022,03/12/2022,4.92